product_description,price_dollar,num_reviews,real_price_dollar,file_source,quality,release_year,movie_audience_rating,actors,director,money_made
"Sennheiser Momentum 3 Wireless Noise Cancelling Headphones with Alexa built-in, Auto On/Off, Smart Pause Functionality and Smart Control App, Sandy White",9755.0,1702,0.0,amazon_mobile,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,16603010.0
"JVC HAFX1X Headphone Xtreme-Xplosivs, Black, Red",709.0,11921,9.99,amazon_mobile,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,8451989.0
"SanDisk 400GB Ultra microSDXC UHS-I Memory Card with Adapter - 120MB/s, C10, U1, Full HD, A1, Micro SD Card - SDSQUA4-400G-GN6MA",34.0,227962,0.0,amazon_mobile,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,7750708.0
SAMSUNG 128GB EVO Plus Class 10 Micro SDXC with Adapter (MB-MC128GA),144.0,51704,11.01,amazon_mobile,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,7445376.0
"Kingston 256GB microSDXC Canvas Go Plus 170MB/s Read UHS-I, C10, U3, V30, A2/A1 Memory Card + Adapter (SDCG3/256GB)",89.0,81574,0.0,amazon_mobile,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,7260086.0
PS Paul Smith Men's Dover Sneaker,295.0,406442,54.99,amazon_men_shoe,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,119900390.0
Nunn Bush Men's Rio Bravo Three Strap Outdoor Sport River Sandal with Hook and Loop Closure,315.0,66909,0.0,amazon_men_shoe,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,21076335.0
PS Paul Smith Men's Shoe Dover White Sneaker,295.0,43000,70.0,amazon_men_shoe,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,12685000.0
TEVA Men's Hurricane Xlt2 Sandals with EVA Foam Midsole and Rugged Durabrasion Rubber Outsole,74.0,139220,85.0,amazon_men_shoe,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,10302280.0
"KEEN Utility Lansing, Men's, Raven/Tawny Olive, Steel Toe, EH Hiker (9.0 D)",125.0,56819,0.0,amazon_men_shoe,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,7102375.0
"Storelli Re-Charge Recovery Socks by Floky, Biomechanical Socks for Post-Training and Competition Recovery, Improve Performance, Protect Against Injuries, Speed up Recovery",49.0,259463,30.0,amazon_men,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,12713687.0
"Fruit of the Loom Men's Microfiber (Size XXL), Boxer Brief-4 Pack-Assorted Colors, XX-Large",219.0,37222,250.0,amazon_men,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,8151618.0
Under Armour Men's Raid 2.0 Workout Gym Shorts,124.0,61031,28.0,amazon_men,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,7567844.0
Hanes Men's X-Temp T-Shirt 2 Pack,345.0,16608,10.9,amazon_men,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,5729760.0
TravisMathew Men's The Rudds 2.0 Polo,84.0,53272,65.0,amazon_men,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,4474848.0
"MaxxHaul 70115 46"" x 36"" x 4-1/2"" Roof Rack Rooftop Cargo Carrier Steel Basket, Car Top Luggage Holder for SUV and Pick Up Trucks - 150 lb. Capacity",129.0,9742,0.0,amazon_car_accessories,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,1256718.0
"Furrion Vision S Wireless RV Backup Camera System with 7-Inch Monitor, 1 Rear Sharkfin, Infrared Night Vision, Wide-Angle View, Hi-Res, IP65 Waterproof, Motion Detection, Microphone - FOS07TASF",599.0,2068,0.0,amazon_car_accessories,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,1238732.0
"MaxxHaul 50025 Hitch Mount 2 Bike Rack For Cars, Trucks, SUV's, Minivans - 100 lb. Capacity",250.0,4851,0.0,amazon_car_accessories,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,1212750.0
